Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1893,M,M,M,M,M,M,M,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,2,1.84,M,M,M,M
1895,M,M,M,M,M,M,M,M,M,1.38,M,M,M
1896,M,M,M,M,M,M,M,M,M,M,M,M,M
1897,M,M,M,M,M,M,M,M,M,M,M,M,M
1898,M,0.88,M,1.96,5.83,M,M,M,M,5.21,M,2.68,M
1899,3.75,6.43,M,M,M,M,M,M,M,1.58,M,M,M
1900,2.04,M,4.57,2.2,3.19,M,5.45,1.8,M,3.76,4.55,3.37,M
1901,2.85,0.74,3.41,5.88,6.71,M,M,10.53,2.59,0.96,M,7.48,M
1902,3.35,M,3.42,1.75,1.85,2.9,4.09,1.06,2.22,3.06,M,M,M
1903,M,5.61,M,M,M,M,6.29,3.68,4.96,1.87,1.94,M,M
1904,M,M,M,M,M,7.42,4.13,M,M,0.13,M,M,M
1905,M,M,M,M,M,M,12.49,6.2,2.2,3.01,M,3.76,M
1906,4.17,M,M,M,M,M,M,M,M,M,2.23,3.04,M
1907,1.97,2.02,M,4.39,2.7,M,M,M,6.83,M,4.97,2.23,M
1908,M,3.62,3.51,4.41,5.67,4.26,4.85,4.86,3.07,6.41,1.44,2.06,M
1909,3.32,2.02,2.87,3.57,6.29,2.82,3.47,3.12,M,M,M,2.2,M
1910,3.33,2.43,1.02,4.24,4.18,10.44,M,M,2.13,M,0.75,2.19,M
1911,4.13,1.84,5.08,5.63,1.75,5.36,3.7,M,1.31,5.74,2.72,3.07,M
1912,M,2.65,6.75,3.41,M,3.2,5.55,1.75,7.87,1.73,1.97,2.5,M
1913,2.69,2.68,6.51,2.82,5.12,4.58,5.38,3.32,2.99,3.05,2.37,2.44,43.95
1914,3.11,4.69,3.95,M,0.76,M,9.6,4.51,2.27,3.6,1.99,M,M
1915,4.22,2.97,M,1.86,3.73,2.72,3.49,5.87,4.62,3.62,1.46,5.45,M
1916,3.12,4.3,2.52,3.28,3.81,8.07,7.79,3.64,3.97,2.88,1.44,2.46,47.28
1917,4.09,3.14,6.62,3.54,3.58,1.34,5.69,1.16,2.36,3.59,0.62,3.17,38.9
1918,7.31,1.38,3.66,6.38,3.9,9.71,8.26,8.1,2.9,5.95,2.07,5.94,65.56
1919,4.85,3.91,3.3,3.26,4.84,7.49,6.22,M,0.31,4.62,2.07,3.55,M
1920,2.59,3.47,3.56,3.21,3.24,4.08,7.05,4.18,3.99,0.04,7.84,2.9,46.15
1921,5.62,3.68,M,1.89,M,3.49,4.95,3.19,3.99,3.06,4,M,M
1922,2.71,M,5.51,1.61,5.46,M,M,2.84,2.8,2.89,M,M,M
1923,3.39,4.17,M,2.28,2.41,6.43,M,M,M,M,3.18,M,M
1924,4.23,2.28,4.32,M,M,2.56,M,6.49,5.75,1.66,2.21,3.82,M
1925,M,M,0.94,2.6,1.43,2.6,2.49,2.07,M,4.38,1.75,M,M
1926,4.26,2.97,2.88,2.12,1.29,1.87,4.06,3.92,2.23,M,2.46,6.62,M
1927,1.32,4.63,1.21,6.41,2.95,1.85,M,M,2.37,4.14,2.66,6.11,M
1928,2.02,M,2.82,3.28,2.5,4.29,2.2,8.41,M,1.84,M,1.03,M
1929,2.43,5.09,4.33,3.4,3.33,M,M,M,1.58,8.11,3.48,2.37,M
1930,M,1.25,1.02,1.54,1.79,1.37,0.93,1.08,2.09,1.33,2.96,3.95,M
1931,1.39,1.69,3.05,4.11,5.11,2.76,6.53,7.28,1.78,1.37,0.47,3.95,39.49
1932,4.39,3.49,4.59,2.69,6.01,6.29,2.85,2.48,1.82,5.28,3.38,4.23,47.5
1933,2.67,3.53,3.25,3.85,5.22,1.9,6.52,1.8,0.3,0.89,0.98,2.75,33.66
1934,1.09,3.13,6.26,2.7,1.85,M,M,3.64,4.33,2.07,4.91,2.53,M
1935,5.56,2.46,6.08,5.67,2.91,2.19,5.67,1.97,3.73,2.51,3.24,1.7,43.69
1936,6.31,2.69,4.6,3.87,0.76,3.46,3.05,4.69,4.19,3.02,0.9,4.47,42.01
1937,7.39,2.32,1.02,3.71,2.74,3.53,4.85,10.02,1.61,8.58,1.46,1.52,48.75
1938,2.19,1.46,2.8,2.33,5.04,4.59,8.42,1.12,2.14,0.41,3.62,1.79,35.91
1939,3.3,4.41,2.58,1.78,1.22,5.14,3.29,6.05,1.47,M,1.38,M,M
1940,1.96,1.8,2.28,M,M,4.47,M,9.19,0.6,1.32,2.47,2.55,M
1941,2.2,0.92,2.09,2.49,0.25,6.94,6.08,1.29,1.49,0.86,1.06,3.23,28.9
1942,1.99,1.54,3.15,0.64,6.46,5.66,2.52,4.77,3.59,M,2.35,3.8,M
1943,2.89,2.16,4.1,2.69,3.78,6.76,6.58,2.96,1.33,1.76,1.43,2.36,38.8
1944,1.99,6.48,4.41,2.03,4.26,3.45,2.48,0.92,5.27,2.81,2.09,1.95,38.14
1945,2.6,4.04,2.51,2.65,4.57,2.32,5.04,2.94,6.12,1.42,3.26,4.71,42.18
1946,3.58,2.2,3.06,2.64,4.34,4.25,5.21,1.46,2.38,1.48,1.86,2.57,35.03
1947,6.06,1.67,2.33,2.57,3.19,4.36,4.6,4.64,3.82,5.1,2.62,0.5,41.46
1948,M,M,5.46,3.11,4.78,7.86,M,5.99,2.43,2.17,5.01,5.88,M
1949,4.5,2.95,2.65,5.72,4.12,5.03,6.57,5.47,2.51,3.53,2.53,2.07,47.65
1950,2.98,2.18,3.12,1.78,7.25,3.47,7.08,M,2.03,M,2.16,2.85,M
1951,0.89,2.21,5.02,5.26,2.15,5.06,4.15,2.18,2.73,0.84,3.64,3.6,37.73
1952,5.02,1.79,4.85,4.11,3.58,4.02,2.59,7.9,1.3,0.84,3.49,2.21,41.7
1953,2.87,4.28,4.25,2.73,4.25,5.75,1.86,2.18,1.57,0.5,0.56,3.62,34.42
1954,4.98,0.94,3.52,2.22,3.99,1.48,3.98,3.02,1.52,4.22,2.62,3.61,36.1
1955,1.51,4.52,8.08,2.48,1.66,3.87,2.14,3.46,0.45,1.56,2.11,1.48,33.32
1956,1.09,5.4,3.3,4.14,2.59,4.44,4.21,1.96,5,3.31,1.82,2.34,39.6
1957,5.53,4.99,2.65,4.55,2.1,4.47,3.39,1.24,10.29,2.11,4.4,3.3,49.02
1958,2.7,2.69,4.36,4.12,5.75,2.54,2.64,2.46,1.87,1.35,2.16,4.31,36.95
1959,2.42,1.87,3.37,4.78,2.2,1.77,2.83,4.22,5.41,4.94,3.08,2.41,39.3
1960,1.73,4.74,3.79,2.95,4.69,1.66,2.09,4.52,2.46,2.32,0.98,1.91,33.84
1961,1.96,4.69,4.15,2.91,2.92,4.74,2.19,4.39,1.1,3.74,2.9,5.86,41.55
1962,3.63,3.59,3.83,2.91,3.72,2.43,5.36,1.55,3.89,2.1,4.18,4.59,41.78
1963,1.45,1.47,4.3,1.07,2.7,1.69,3.04,2.22,3.79,0.12,3.45,1.65,26.95
1964,3.39,3.92,2.59,4,2.09,1.31,4.43,4.38,3.03,3.4,1.77,2.31,36.62
1965,3.42,2.31,3.96,3.14,2.6,3.38,5.08,3.13,2.93,4.05,1.24,0.18,35.42
1966,3.06,3.3,1.34,2.65,3.15,0.39,4.94,4.61,5.09,3.66,2.37,2.51,37.07
1967,2.01,1.63,3.93,2.28,4.13,2.34,2.93,5.75,2.23,2.76,1.03,3.46,34.48
1968,2.14,0.36,3.64,3.88,3.45,3.22,2.38,3.73,1.18,4.78,2.63,2.06,33.45
1969,2.08,3.34,2.29,2.1,0.92,3.92,2.55,4.25,5.35,1.77,1.73,4.55,34.85
1970,1.4,1.58,2,3.32,2.09,3.8,7.25,5.44,2.78,3.52,3.57,2.45,39.2
1971,1.87,4.54,2.14,2.51,9.75,5.63,4.56,2.57,4.49,6.26,1.89,1.74,47.95
1972,3.57,4.66,2.11,6.48,4.63,6.58,5.7,3.57,6.31,3.26,5.18,5.58,57.63
1973,2.93,3.37,6.33,5.21,6.2,3.06,3.58,3.67,1.75,4.8,2.53,6.03,49.46
1974,4.57,2.52,4.62,4,4.86,3.33,2.27,4.14,4.88,1.15,1.74,2.34,40.42
1975,4.47,3.97,8.33,2.4,7.79,3.93,3.02,1.81,5.49,3.99,1.88,2.54,49.62
1976,3.15,2.09,2.98,1.21,2.62,8.66,3.26,3.43,3.71,9.14,1.51,2.87,44.63
1977,1.99,0.99,2.11,4.73,2.64,5.73,1.88,6.36,4.13,6.29,7.41,1.84,46.1
1978,4.35,0.59,4.79,6.63,3.9,1.78,5.15,3.1,2.43,1.23,2.88,5.1,41.93
1979,4.62,4.85,3.38,4.27,2.71,5.19,4.32,2.49,6.19,3.21,3.95,1.47,46.65
1980,3.73,0.33,5.7,4.65,2.77,2.38,6.34,2.1,0.96,2.93,2.05,0.94,34.88
1981,M,2.78,1.54,2.86,4.81,2.31,5.66,2.91,3.53,4.35,0.49,2.76,M
1982,4.44,6.28,3.96,2.95,4.64,3.62,2.99,4.49,2.01,3.79,4,2.85,46.02
1983,2.07,2.53,5.26,6.77,3.96,4.91,2.07,1.84,2.12,6.03,3.12,4.79,45.47
1984,1.95,4.79,4.37,4.96,5.98,1.45,4.27,4.42,1.04,3.6,2,1.78,40.61
1985,2.41,3.25,1.95,1.97,4.33,2.37,3.62,7.46,0.51,2.94,6.76,0.75,38.32
1986,0.75,2.93,1.9,1.48,6.33,1.28,3.93,3.31,3.86,2.45,4.7,4.15,M
1987,3.01,2.4,4.42,7.75,2.09,1.47,3.11,1.64,6.61,1.73,2.98,2.67,39.88
1988,1.98,1.53,1.33,3.79,1.68,3.21,5.39,5.57,4.14,1.56,2.03,1.6,33.81
1989,2.46,2.34,2.94,3.3,4.4,7.08,M,4.58,8.09,3.17,3.39,0.32,M
1990,3.29,3.71,3.19,2.38,7.23,0.91,4,4.13,1.8,7.09,1.36,3.67,42.76
1991,2.96,2.15,5.86,2.78,4.66,1.27,2.12,2.69,0.49,0.26,2.99,5.5,33.73
1992,2.94,3.47,3.26,5.43,4.25,6.2,9.35,4.27,1.72,2.15,3.78,2.35,49.17
1993,3.32,3.24,6.94,3.37,4.36,3.58,3.3,3.27,5.27,1.74,4.01,5.23,47.63
1994,4.42,5.77,5.85,3.93,1.41,M,5.99,4.2,0.97,M,M,M,M
1995,M,M,M,M,M,M,M,2,1.69,2.9,3.06,2.06,M
1996,6.57,2.83,3.09,1.42,4.9,3.71,7.33,6.38,5.28,1.67,4.66,4.84,52.68
1997,3.15,2.47,4.01,2.32,2.26,5.03,2.61,1.97,3.18,1.47,2.46,2.64,33.57
1998,7.41,3.48,4.15,5.02,7.61,5.73,1.56,4.51,0.91,2.79,0.67,2.77,46.61
1999,3.47,2.33,2.97,3.17,2.39,1.28,4.75,3.17,4.85,1.64,1.31,1.92,33.25
2000,2.4,2.2,1.98,5.13,1.66,6.44,4.08,4.46,3.16,0.02,1.69,2.02,35.24
2001,2.07,1.42,3.6,0.74,7.86,2.94,4.87,2.83,1.69,1.17,0.41,2.02,31.62
2002,2.11,0.62,4.05,2.83,5.08,2.3,2.37,0.87,4.47,4.73,5.24,3.81,38.48
2003,1.21,6.31,3.08,4.43,6.18,7.57,7.75,2.64,4.06,1.8,3.87,2.7,51.6
2004,2.83,3.02,2.44,3.77,5.58,3.68,3.39,3.59,8.85,2.28,4.24,2.37,46.04
2005,2.71,2.02,4.43,2.35,1.69,4.02,5.47,3.74,0.25,3.38,2.69,2.2,34.95
2006,3.48,1.14,0.6,4.16,2.15,11.8,3.49,2.24,3.99,5.11,3.67,1.68,43.51
2007,2.42,1.82,6.56,3.58,2.17,3.73,2.85,1.67,1.06,4.93,0.77,2.66,34.22
2008,1.42,1.8,2.62,5.69,3.13,2.22,4.75,3.49,1.86,1.07,1.52,3.89,33.46
2009,3.6,1.14,5.58,2.92,9.33,4.06,6.14,3.53,2.3,2.84,5.12,6.97,53.53
2010,3.94,2.17,3.51,2.42,4.78,1.24,4,5.7,3.2,3.19,2.17,3.26,39.58
2011,0.82,1.97,5.6,5.15,7.39,2.78,3.93,1.25,4.84,2.96,4.13,3.62,44.44
2012,2.08,2.71,4.67,4.68,3.68,2.91,2.56,4.15,3.61,1.72,1.08,2.41,36.26
2013,7.74,1.36,3.12,3.8,5.83,7.37,8.01,2.08,1.35,2.64,3.02,5.26,51.58
2014,1.65,3.98,2.42,3.93,2.85,2.84,2.15,5.95,3.8,4.07,3.01,2.65,39.3
2015,1.3,2.12,4.56,5.15,2.4,3.46,4.28,4.09,8.61,3.87,3.65,5.51,49
2016,2.44,4.7,2.56,1.56,4.76,3.28,4.86,4.16,6.95,2.26,0.77,4.1,42.4
2017,4.5,0.89,3.1,6.45,6.22,2.96,3.3,2.54,1.45,7.72,1.19,0.68,41
2018,1.64,4.54,4.66,4.41,5.79,1.68,2.13,5.65,7.89,4.83,4.06,4.66,51.94
2019,2.8,5.58,2.46,4.38,2.45,5.39,2.83,2.85,1.02,6.17,3.33,3.41,42.67
2020,3.02,5.43,3.89,7.16,7.38,5,2.63,7.19,4.59,3.93,5.39,3.87,59.48
2021,3.5,4.19,3.72,2.45,2.9,2.31,6.99,4.63,7.24,3.2,0.96,0.72,42.81
2022,3.27,3.83,2.55,2.49,6.65,1.29,5.21,6.61,3.21,2.63,3.96,3.4,45.1
2023,2.73,3.79,2.17,4.77,4.16,2.91,4.39,1.94,6.66,1.1,1.76,4.28,40.66
2024,3.98,2.09,2.35,1.41,3.44,1.25,5.91,3.37,6.73,0.61,M,M,M